Rank,Symbol,Name,Historical Link,Main Link
144,FLOKI,FLOKI,https://coinmarketcap.com/currencies/floki-inu/historical-data/,https://coinmarketcap.com/currencies/floki-inu/
145,T,Threshold,https://coinmarketcap.com/currencies/threshold/historical-data/,https://coinmarketcap.com/currencies/threshold/
146,ICX,ICON,https://coinmarketcap.com/currencies/icon/historical-data/,https://coinmarketcap.com/currencies/icon/
147,KSM,Kusama,https://coinmarketcap.com/currencies/kusama/historical-data/,https://coinmarketcap.com/currencies/kusama/
148,SC,Siacoin,https://coinmarketcap.com/currencies/siacoin/historical-data/,https://coinmarketcap.com/currencies/siacoin/
149,WLD,Worldcoin,https://coinmarketcap.com/currencies/worldcoin-org/historical-data/,https://coinmarketcap.com/currencies/worldcoin-org/
150,SXP,Solar,https://coinmarketcap.com/currencies/sxp/historical-data/,https://coinmarketcap.com/currencies/sxp/
151,LUNA,Terra,https://coinmarketcap.com/currencies/terra-luna-v2/historical-data/,https://coinmarketcap.com/currencies/terra-luna-v2/
152,ILV,Illuvium,https://coinmarketcap.com/currencies/illuvium/historical-data/,https://coinmarketcap.com/currencies/illuvium/
153,HIVE,Hive,https://coinmarketcap.com/currencies/hive-blockchain/historical-data/,https://coinmarketcap.com/currencies/hive-blockchain/
154,ZRX,0x Protocol,https://coinmarketcap.com/currencies/0x/historical-data/,https://coinmarketcap.com/currencies/0x/
155,ETHW,EthereumPoW,https://coinmarketcap.com/currencies/ethereum-pow/historical-data/,https://coinmarketcap.com/currencies/ethereum-pow/
156,ONT,Ontology,https://coinmarketcap.com/currencies/ontology/historical-data/,https://coinmarketcap.com/currencies/ontology/
157,SSV,ssv.network,https://coinmarketcap.com/currencies/ssv-network/historical-data/,https://coinmarketcap.com/currencies/ssv-network/
158,GLMR,Moonbeam,https://coinmarketcap.com/currencies/moonbeam/historical-data/,https://coinmarketcap.com/currencies/moonbeam/
159,IOST,IOST,https://coinmarketcap.com/currencies/iostoken/historical-data/,https://coinmarketcap.com/currencies/iostoken/
160,BAND,Band Protocol,https://coinmarketcap.com/currencies/band-protocol/historical-data/,https://coinmarketcap.com/currencies/band-protocol/
161,BICO,Biconomy,https://coinmarketcap.com/currencies/biconomy/historical-data/,https://coinmarketcap.com/currencies/biconomy/
162,ONE,Harmony,https://coinmarketcap.com/currencies/harmony/historical-data/,https://coinmarketcap.com/currencies/harmony/
163,WAXP,WAX,https://coinmarketcap.com/currencies/wax/historical-data/,https://coinmarketcap.com/currencies/wax/
164,SUSHI,SushiSwap,https://coinmarketcap.com/currencies/sushiswap/historical-data/,https://coinmarketcap.com/currencies/sushiswap/
165,AXL,Axelar,https://coinmarketcap.com/currencies/axelar/historical-data/,https://coinmarketcap.com/currencies/axelar/
166,IOTX,IoTeX,https://coinmarketcap.com/currencies/iotex/historical-data/,https://coinmarketcap.com/currencies/iotex/
167,MAGIC,MAGIC,https://coinmarketcap.com/currencies/magic-token/historical-data/,https://coinmarketcap.com/currencies/magic-token/
168,MC,Merit Circle,https://coinmarketcap.com/currencies/merit-circle/historical-data/,https://coinmarketcap.com/currencies/merit-circle/
169,USTC,TerraClassicUSD,https://coinmarketcap.com/currencies/terrausd/historical-data/,https://coinmarketcap.com/currencies/terrausd/
170,KDA,Kadena,https://coinmarketcap.com/currencies/kadena/historical-data/,https://coinmarketcap.com/currencies/kadena/
171,UNIBOT,UniBot,https://coinmarketcap.com/currencies/unibot-eth/historical-data/,https://coinmarketcap.com/currencies/unibot-eth/
172,BORA,BORA,https://coinmarketcap.com/currencies/bora/historical-data/,https://coinmarketcap.com/currencies/bora/
173,CKB,Nervos Network,https://coinmarketcap.com/currencies/nervos-network/historical-data/,https://coinmarketcap.com/currencies/nervos-network/
174,DGB,DigiByte,https://coinmarketcap.com/currencies/digibyte/historical-data/,https://coinmarketcap.com/currencies/digibyte/
175,STG,Stargate Finance,https://coinmarketcap.com/currencies/stargate-finance/historical-data/,https://coinmarketcap.com/currencies/stargate-finance/
176,DAO,DAO Maker,https://coinmarketcap.com/currencies/dao-maker/historical-data/,https://coinmarketcap.com/currencies/dao-maker/
177,MOB,MobileCoin,https://coinmarketcap.com/currencies/mobilecoin/historical-data/,https://coinmarketcap.com/currencies/mobilecoin/
178,RBN,Ribbon Finance,https://coinmarketcap.com/currencies/ribbon-finance/historical-data/,https://coinmarketcap.com/currencies/ribbon-finance/
179,CORE,Core,https://coinmarketcap.com/currencies/core-dao/historical-data/,https://coinmarketcap.com/currencies/core-dao/
180,SKL,SKALE,https://coinmarketcap.com/currencies/skale-network/historical-data/,https://coinmarketcap.com/currencies/skale-network/
181,FLUX,Flux,https://coinmarketcap.com/currencies/zel/historical-data/,https://coinmarketcap.com/currencies/zel/
182,UMA,UMA,https://coinmarketcap.com/currencies/uma/historical-data/,https://coinmarketcap.com/currencies/uma/
183,ZEN,Horizen,https://coinmarketcap.com/currencies/horizen/historical-data/,https://coinmarketcap.com/currencies/horizen/
184,GAL,Galxe,https://coinmarketcap.com/currencies/galxe/historical-data/,https://coinmarketcap.com/currencies/galxe/
185,RSR,Reserve Rights,https://coinmarketcap.com/currencies/reserve-rights/historical-data/,https://coinmarketcap.com/currencies/reserve-rights/
186,TOMO,TomoChain,https://coinmarketcap.com/currencies/tomochain/historical-data/,https://coinmarketcap.com/currencies/tomochain/
187,EVER,Everscale,https://coinmarketcap.com/currencies/everscale/historical-data/,https://coinmarketcap.com/currencies/everscale/
188,STPT,STP,https://coinmarketcap.com/currencies/standard-tokenization-protocol/historical-data/,https://coinmarketcap.com/currencies/standard-tokenization-protocol/
189,LSK,Lisk,https://coinmarketcap.com/currencies/lisk/historical-data/,https://coinmarketcap.com/currencies/lisk/
190,XNO,Nano,https://coinmarketcap.com/currencies/nano/historical-data/,https://coinmarketcap.com/currencies/nano/
191,STORJ,Storj,https://coinmarketcap.com/currencies/storj/historical-data/,https://coinmarketcap.com/currencies/storj/
192,ACH,Alchemy Pay,https://coinmarketcap.com/currencies/alchemy-pay/historical-data/,https://coinmarketcap.com/currencies/alchemy-pay/
193,KNC,Kyber Network Crystal v2,https://coinmarketcap.com/currencies/kyber-network-crystal-v2/historical-data/,https://coinmarketcap.com/currencies/kyber-network-crystal-v2/
194,CTSI,Cartesi,https://coinmarketcap.com/currencies/cartesi/historical-data/,https://coinmarketcap.com/currencies/cartesi/
195,CELR,Celer Network,https://coinmarketcap.com/currencies/celer-network/historical-data/,https://coinmarketcap.com/currencies/celer-network/
196,PLA,PlayDapp,https://coinmarketcap.com/currencies/playdapp/historical-data/,https://coinmarketcap.com/currencies/playdapp/
197,PUNDIX,Pundi X (New),https://coinmarketcap.com/currencies/pundix-new/historical-data/,https://coinmarketcap.com/currencies/pundix-new/
198,PYR,Vulcan Forged PYR,https://coinmarketcap.com/currencies/vulcan-forged-pyr/historical-data/,https://coinmarketcap.com/currencies/vulcan-forged-pyr/
199,SNT,Status,https://coinmarketcap.com/currencies/status/historical-data/,https://coinmarketcap.com/currencies/status/
200,AMP,Amp,https://coinmarketcap.com/currencies/amp/historical-data/,https://coinmarketcap.com/currencies/amp/
